id,poem,fate,marriage,interpretation
1,"久旱喜獲甘霖降 他鄉猶可遇故知 洞房喜慶花燭夜 金榜高掛題名時","緣份俱足","吉慶臨門","屬於大吉大利之象也!通常能夠雙喜臨門已屬罕見,更遑論是四喜臨門。所以由此觀之,你如今可說是功德圓滿,故能諸事如意,並在姻緣路上獲得應有福待機緣成熟,你便能心想事成,如願以償與意中人結成好連理。"
2,"稻禾滿穗結成完 此事必能兩相全 不須煩惱寬心坐 花開富貴月亦圓","稱心如意","美滿幸福","有努力才可能有收穫,凡事先苦而後方有甘,你目前在姻緣方面並沒有什麼好特別擔心的地方;縱然有,也都能夠有兩全其美的辦法可以解決,所以不用煩惱操心,一切如常就好,最終必能獲得令人開心之圓滿結果。"
3,"雙棲雙飛比翼鳥 互盤互依連理枝 修得福份皆俱足 神賜姻緣成眷屬","終成眷屬","如膠似漆","在天願作比翼鳥,在地願爲連理枝。你們的感情已到達如膠似漆一般,足以羨煞一堆人 有如此好的緣份,就該就該彼此珍惜。待福份俱足,神佛也會讓有情終成眷屬。已婚夫妻更是出雙入對,恩愛有加,真可謂是人間之神仙伴侶"
4,"關關雎鳩在河洲 窈窕淑女君好逑 兩情相悅紅線繫 佳偶天成共此生","兩情相悅","佳偶天成","雎鳩合鳴,代表情意相投。幽雅嫻靜的淑女正可與翩翩君子相匹配,可說是郎有情妹有意。男大當婚,女大當嫁,適婚年齡者本該勇於追求異性。只要兩情相悅,月老繫上紅線,良人得良緣,終可步上紅毯,琴瑟和鳴,白頭偕老。"
5,"雲開月出正分明 不須進退向前程 姻緣皆由天註定 和合清吉萬事成","掌握良機","恩愛終生","過去在姻緣路上或許不太順遂,但如今陰霾逐漸消散, 有否極泰來之勢,所以不須躊躇不前,應該敞開心胸去追求幸福。天註姻緣,終將讓你遇到合適的對象, 一切可馬到成功。夫妻懂得知福惜婚姻便可和合和諧,吉祥如意。"
6,"前世結下好姻緣 今生相逢赤線連 多福多子並多壽 一門嘉慶此為先","天賜良緣","福祉禎祥","你們雙方眞的很有緣份,因爲你在前世早已和對方結下好姻緣,故前世因今世果,此生得以再相遇,而月老也如願繫上紅線讓有情之人成雙對。此外,自婚後,你將擁有福祉禎祥及喜事連連之好運,但勿忘知福、惜福與再造福。"
7,"花開今已結成果 富貴榮華終擁有 姻緣和合無須慮 萬事清吉莫煩憂","如願以償","吉祥如意","你一直以來在姻緣方面所作的努力與付出,總算是皇天不負苦心人,如今已有令人滿意的成效顯現,所以將可擁有好的結果,故不必庸人自擾,也不需要有任何的憂慮,凡事和合清吉,正如同萬里無雲明月當空照一般。"
8,"有意栽花花不開 無心插柳柳成蔭 鸞鳳和鳴姻緣至 姻緣註定不須求","水到渠成","鸞鳳和鳴","男女之間感情之事是很微妙的,如果太刻意或強求,常常無法如願,往往在無意之間,你或許就可遇到令你心動的對象,故一切還是順其自然較好。而當雙方情投意合之後,便可攜手計劃共步紅毯 過著鶼鰈情深恩愛的夫妻生活。"
9,"夫婦有意兩相謀 綢繆未合反成愁 萬事逢春皆大吉 鴛鴦情懷總是詩","尋求共識","互敬互愛","雙方本已就未來提早作好了準備,奈何卻受某些因素影響,恐怕如今不僅計劃無法執行,還很傷腦筋,一時之間也不知道該如何是好?但姻緣早已註定,所以目前就等時來運轉,當冬去春來,問題消除後,凡事就可如意吉祥了。"
10,"自古路遙知馬力 鐵杵磨針莫心急 但得良辰吉日到 鑼鼓喧天賀聲連","靜心莫急","需有耐心","有好的實力與好的內在,就不怕競爭者的出現或不被對方所認同。時間可以證明一切,時間也可以考驗一個人的誠心毅力,所以不要被眼前的一些挫折所打敗,也不要心急,等到機緣成熟,好的時間點到了,當可滿堂吉慶喜臨門。"
11,"太公家業八十成 月出光輝四海明 命內自然逢大吉 茅屋中間百事亨","姻緣晚成","白頭偕老","因爲屬於你的時機尚未來到,故未婚者需要一些時日之後才有機會遇到適婚的對象,而且不論當事人是男是女,都較適合晚婚,故不需要心急,一切就等待上天的安排。而已婚者要互相包容、互敬互愛,便能相安無事,白頭偕老。"
12,"日出東方風雲散 七彩毫光照大千 陰霾退去春光現 嶺上冰雪不復見","陰霾漸散","問題消弭","過去沒能遇到好的機緣,也可能與目前交往的對象或配偶有過難解問題,故不順遂或有裂痕。但是從前種種譬如昨日死,以後種種譬如今日生,如今一切情勢已經由否轉泰,陰霾已經散去,故往後將不再有任何的煩惱與不愉快存在。"
13,"前世修得好緣因 一笑相逢情自親 不分軒輊無高下 誰會在意富與貧","神仙伴侶","真愛一生","因爲你在前世與今生的對象修得好的綠福報,而且也種下了善因善果,所以當兩人在人海中再次相遇,就有一種似曾相識的感覺,所以很自然的情緣就特別的濃厚,兩人只在乎天長地久,身份地位與貧富問題根本一點也不會在乎。"
14,"天邊消息實難問 切莫私心強望求 若把石頭磨成鏡 枉費精神一時休","守舊則安","安穩方吉","有一些未知的事情是難以預料及稱心如意的,所以又何必試圖改變它,甚至不顧對方,就只考慮自己的利害關係而一味的強求呢?這就像是要把一顆石頭磨成一面鏡子一般,恐怕就算耗盡精力也是枉然,所以還是以安穩守舊爲吉。"
15,"姻緣本由天註定 心亂如麻誤君期 何不回頭走舊路 雲開天清自分明","守舊爲宜","和合爲貴","姻緣天註定,你要誠心接受,看不清事實,硬是把事情搞的如此的複雜,心亂如麻的結果只會耽誤你自己的好事 如果經過改變,並沒有比原本來的好的話,那麼就該考慮趕緊回頭,因爲唯有如此,問題方可迎刃而解。"
16,"鴛鴦成對有似無 曲折心境向前途 山窮水盡疑無路 柳暗花明又一村","曙光乍現","峰迴路轉","你們兩人看似一對,但有時候又讓人感覺不是如此,就連你們自己也有同樣的感受,故一路走來心情是五味雜陳,甚至覺得快無法並肩走下去。但還好事情沒有那麼糟糕,峰迴路轉過後,前頭已露出一道明亮的曙光,終於遇得轉機。"
17,"秋景蕭瑟夕陽斜 孤鶩獨鳴無伴陪 冷冽江水東流去 只見一魚自悠游","姻緣未現","形同末路","你目前在姻緣方面,就如同是處在秋蕭蕭、夕陽西下之深秋當中的一隻孤獨野鴨;也像是一隻落單的溪魚在往東流的寒冷江水中漫無目的的游著,可以說境遇非常的不得意。故目前也只能夠看開一點,再修修福德,以求能夠轉運。"
18,"月夜寒水浸樓臺 花影移動費疑猜 滿心雀躍翹首望 終是未見伊人來","機緣未至","緣份淺薄","你非常期盼能夠與意中人有好的感情發展,總希望可以常常見面培養感情,似乎並不如預期,所以你由盼望變成失望。此乃機緣未至,故一切慢慢來,要用愛與誠心去感動對方。而已婚者要懂得夫妻之道,不要失去關心與熱情。"
19,"東邊月上正蟬娟 頃刻雲遮月半邊 莫道圓時還又缺 須叫缺處復重圓","灰暗不明","出現問題","你們雙方一直以來都很契合,感情也很融恰,可是卻因故遭遇到一些阻礙或出現磨擦,所以烏雲罩頂及出現裂痕。這樣時好時壞的關係不利感情的穩定,問題也容易產生。想要和好如初,就該懂得互敬、互愛與互諒,才有可能。"
20,"他思已窮恨不窮 嬌鸞雛鳳失雌雄 明鏡蒙塵污處多 若要復明需重磨","感情生變","貌合神離","兩人之間似乎是出了一些問題,原本好好的感情卻生變;不僅如此,還越走越回頭。如果不趕緊妥善處理的話後面會更難預料。若雙方珍惜彼此,那麼就該敞開心胸溝通,化解阻礙,修補已經破損的情感。"
21,"皎月映水明又圓 春花綻放姿態千 誰知驟雨狂風後 月缺花殘起波瀾","難經考驗","心生波欄","經營感情看似簡單無奇,但卻又是一門大學問。你們原本也是形影不離,如膠似漆一般,但卻經不起考驗,遇到了不愉快或挑戰,就把你們之間的革命感情擊潰,就產生嫌隙。情感脆弱至此,又如何能攜手走下去呢?該深自檢討。"
22,"欲求姻緣未得意 只恐命中有交加 兩家必定防損失 勸汝且退莫咨嗟","坎坷難合","感情分岔","你一直以來汲汲營營於尋覓屬於你的姻緣,但恐怕命中註定在過程裡會遭遇到一些阻礙或不順遂,所以總是無法如你所願,那麼就耐心等待吧!而已婚者不要鬧不合或發生婚外情,否則恐怕會有不良的後果,故要趕緊回頭是岸。"
23,"梅花映雪正紛飛 漁翁海上皺雙眉 夜靜水寒魚不餌 滿船空載明月歸","希望落空","機會渺茫","你目前的姻緣路走的不順遂,雖然滿懷希望,總有很美麗的憧憬,但是結果卻遠不如你的預期 就像是漁夫在冬天寒冷的海面釣魚,但魚兒就是不上鉤,所以只能失望而歸。不過不能因此就失意難過,冬天過後,春天還是會再來。"
24,"朝朝暮暮恰如蜂 飛到西來飛到東 春末花殘無覓處 此身不戀舊花叢","徒勞心力","不安於家","男女之間交往與相處貴在真誠,你若像蜜蜂一般到處亂飛,只想頻換異性遊戲人間,而且還不戀舊的話,那麼在姻緣方面只會徒勞無功,變成王老五。爲夫者則要懂得疼愛自己的老婆,不可喜新厭舊 ,要好好愛護兩人共築的家庭。"
25,"千里姻緣一線牽 月老樂成好姻緣 琴瑟和鳴譜愛樂 永結同心到永遠","天註良緣","百年好合","姻緣乃天註定,月老如今已將你們用紅線緊緊的繫在一起。祂非常樂意成就此契合的姻緣,讓有情人終成眷屬。良緣天成,故夫妻感情可以融洽和諧,夫唱婦隨,心心相印,如膠似漆,百年好合,婚姻生活幸福美滿直到永遠。"
26,"嗟汝向來未得時 爾今月老來恩賜 姻緣和合皆如意 魚水之歡誕貴兒","昔否今泰","相親相愛","一直以來在感情方面總是令人感嘆不得時宜,還好現在狀況已經好轉,而且月老也要助一臂之力,讓你可以快快找到適合的對象,成就一樁好的姻緣。所以佳期指日可待,而且婚後更可過著美滿幸福,夫妻恩愛,有子萬事足的生活。"
27,"今生滄海難為水 除卻巫山不是雲 取次花叢難回顧 唯汝吾願伴一生","情有獨鍾","永生不渝","對方是你萬中選一的佳偶,其在你的眼裡是那麼的完美無缺,令你願意無怨無悔的付出一切,可說是你今生今世情有獨鍾唯一的對象,沒有任何人可以再打動你的心。如此堅貞的愛情,不論未婚或已婚,都值得雙方共同去守護它。"
28,"君爾何須問聖跡 自己心中皆有益 于今且待明月照 凶事脫出化成吉","漸入佳境","風波漸平","對於你心中的疑問及或無法拿定主意之事 其實你自己已經有很好的想法和定見,故據此而行是沒有問題的。如今只要事情明朗化,則原本的擔憂或不順遂就會消失。所以有關姻緣方面的事,就照著自己內心的想法或認知去做就好。"
29,"勸君把定心莫虛 意志堅定勿懷疑 到底中間無大事 神佛庇佑得安寧","一切多慮","互信得安","心思不可漂移不定,勸你要把持住自己才好,凡事意志要夠堅定,不可胡思亂想。若遇到問題就好好的處理,天下無難事,只怕有心人。另外勿猜疑,疑心只會生暗鬼 更何況也沒有什麼事,上天總會保佑,所以一切都會平安無事。"
30,"清閑無事靜處坐 饑時吃飯睏時臥 放下身心不用愁 必定不遭殃與禍","待時則吉","守舊安然","天底下不如意之事乃十之八九,你又何必爲一些事在那裡憂慮發愁呢?這樣子根本就於事無補,反而還有可能適得其反。不如放鬆心情,勿想太多,也勿輕舉妄動或試圖改變, 一切還是以守舊爲要,順天待時爲宜,才不會自找麻煩。"
31,"勸君莫惜金縷衣 勸君惜取少年時 有花堪折直須折 莫待無花空折枝","把握機會","珍惜當下","奉勸你勿只重視外表或物質這類虛幻不實的東西,重要的是一個人的內在品德與實力,而且也應把握當下,好好追求自己的幸福,莫等年紀大了之後才要後悔。夫妻之間也應知緣惜福,不要等無法相依相守時,才要懊惱當初未珍惜。"
32,"命犯孤辰只合休 鴛鴦兩下遂溪流 枯楊豈肯重生葉 風雨飄零空自愁","好事難成","時運不濟","你目前在姻緣方面犯了孤辰星,凡事要小心謹慎一些,尋覓幸福之事就不要太急躁。而不管情侶或夫妻,此刻正處於風雨飄搖的狀態,多少都會讓人感到沮喪,有隨波逐流,無法重生的感慨。憂愁無濟於事,保守等待命運翻轉吧。"
33,"勸君把定心莫虛 天註姻緣自有餘 和合重重常吉慶 時來終遇得名珠","先苦後甘","惜緣惜福","必須對自己有信心 而且意志力也要堅定,不可三心二意、猶豫不決。姻緣之事乃上天註定好的 ,懂得惜緣惜福,就會有喜事降臨。雙方能夠和合、和諧極爲重要,當好的時機來臨,你就可遇到理想的對象或夫妻能夠如沐春風一般。"
34,"春天枝頭齊爭豔 綠葉紅花意綿綿 鴛鴦成對喜鵲至 夙世婚姻不須媒","隨喜姻緣","愛河永浴","多少的男女正活躍在情場之中,爭奇鬥豔的在尋覓佳偶,只要能看對眼,就敢勇於表達,互訴情衷。你與意中人是理想的一對,只要郎有情、妹有意,心有所屬,則待姻緣成熟,便可喜幛高掛共結連理,哪需要靠媒人從中去撮合。"
35,"雖具緣份終未穩 一炷清香達天庭 望得貴人多扶助 正果方能早修成","祈神保佑","多修福田","你們雙方雖具有緣份,但可能基於一些已知或潛在的問題,所以總覺得兩人的伴侶關係不夠穩固。這除了要靠自己努力經營之外,也可以祈求上天能讓你們遇到貴人,使姻緣路走的更順利,早日能修成正果,並令夫妻可以百年好和。"
36,"牛郎織女本天仙 阻隔銀河路杳然 百年富貴風中燭 一旦榮華夢裡仙","阻滯難行","聚少離多","因爲一些外在因素,故阻礙了兩人之間該有的互動,彼此簡直像是牛郎織女七夕會一般。如果影響因素無法消除,那麼就算原本感情再怎麼好,恐怕也經不起考驗。況且有一天假使有所改觀 可能也只不過是南柯一夢,虛幻易逝。"
37,"兩家門戶各相當 非是姻緣莫較量 直待春風好消息 再調琴瑟向蘭房","強求無益","百事難譜","只考慮是否門當戶對,而不問雙方感情如何,那麼這種姻緣是極不穩固的,應當要三思。所以何不先稍安勿躁,等機緣來臨,待找到合適的對象之後,再考慮婚嫁問題。夫妻之間要和合,不應存在任何齟齬,要永遠恩愛如初才好。"
38,"葉落枝枯莫煩惱 冬盡陽明春色好 若得神助陰轉晴 喜上眉梢樂陶陶","否極泰來","靜待轉機","你的姻緣路走的很辛苦、不順遂,總是形單影孤很落莫,但不需要因此而過度煩惱,總會有屬於你的春天來到一切就可改觀。若可獲神明保佑,更能扭轉態勢,如陽光破雲層而出一般時候你就會滿心歡喜,其樂融融了。"
39,"不須作福不須求 用盡心機總未休 猶如行船陷險灘 亦似搭梯上雲端","運勢不通","舉步維艱","你目前正處於困厄期,這是運勢上的問題,所以你所求問的事 目前恐怕是有些束手無策。不過有些問題若有貴人從中幫忙,倒還有一絲絲希望,但有一些則眞的難如登天。故此時此刻,就先修德修福,以期運勢可以早日泰來!"
40,"欲去長江水闊茫 行船把定未遭風 戶內用心再作福 看看魚水得相逢","難以如願","阻礙在前","你很想要有所行動,可是卻要面對許多的難題,內心裡不免感到茫然。尤其每當展開行動了,卻總是不順利,可是又無貴人可以幫忙,眞的覺得是既失望又難過。如今運不逢時,那麼就再深耕福田,等時來運轉,再看有無好的機會。"
